crop,temp,humidity,gas,gradient,gas_trend,humidity_trend,confidence,current_risk,future_risk,time,spatial_score,gas_accel,label
Potato,19.48,80.89,752.7,4.058,7.592,-0.356,0.854,0.4565,0.4818,M02_H22,0.513,0.7591,Moderate_Spoilage_Risk
Wheat,6.93,61.62,643.6,4.743,-18.099,-0.954,0.954,0.2176,0.2337,M02_H23,0.431,-0.9174,Low_Spoilage_Risk
Chickpea,39.05,30.0,703.3,1.831,0.578,-0.287,0.985,0.4072,0.4446,M11_H11,0.78,2.2882,Moderate_Spoilage_Risk
Maize,19.7,61.19,594.1,1.245,1.782,-0.415,0.864,0.052,0.0952,M02_H08,0.851,2.9203,Safe
Soybean,13.19,75.46,1037.3,4.039,9.21,1.073,0.976,0.6987,0.7463,M09_H04,0.515,0.4811,Critical_Spoilage
Rice_Processed,27.05,79.27,922.7,4.3,11.741,1.079,0.822,0.6218,0.6902,M09_H15,0.484,2.7296,High_Spoilage_Risk
Mustard_Seed,23.2,58.01,745.8,4.057,-4.736,0.253,0.987,0.2197,0.2296,M01_H07,0.513,-2.8357,Low_Spoilage_Risk
Rice_Processed,13.1,53.54,832.9,1.87,-11.65,0.167,0.878,0.1563,0.1841,M08_H07,0.776,5.3783,Low_Spoilage_Risk
Wheat,14.15,58.15,784.1,1.88,-5.503,-1.774,0.895,0.1281,0.0999,M05_H22,0.774,-2.6958,Safe
Black_Gram,10.28,40.22,469.9,2.169,-11.094,-0.096,0.944,0.1434,0.1145,M06_H00,0.74,-0.1407,Safe
Black_Gram,21.42,64.5,507.2,4.806,2.975,0.171,0.919,0.1973,0.2379,M07_H13,0.423,2.3942,Low_Spoilage_Risk
Rice_Paddy,19.8,73.53,709.8,0.322,-8.04,0.587,0.905,0.1756,0.1993,M06_H17,0.961,1.7184,Low_Spoilage_Risk
Mustard_Seed,22.86,41.47,621.2,4.204,-16.715,-1.39,0.926,0.2292,0.2168,M01_H13,0.496,-1.0472,Low_Spoilage_Risk
Sugarcane_Ratoon,31.12,57.15,454.1,1.387,6.555,1.856,0.992,0.1221,0.1378,M07_H03,0.834,1.9055,Safe
Jute_Seed,43.23,86.09,1566.6,0.949,11.015,1.344,0.892,0.878,0.9087,M07_H13,0.868,4.2399,Critical_Spoilage
Rice_Paddy,15.65,77.16,1017.1,1.497,2.896,-0.398,0.899,0.4773,0.4725,M11_H15,0.82,1.6512,Moderate_Spoilage_Risk
Chickpea,15.31,33.97,761.5,4.424,10.87,0.383,0.937,0.2302,0.2829,M02_H02,0.469,-1.0052,Low_Spoilage_Risk
Black_Gram,10.33,66.14,530.4,1.947,8.584,0.143,0.84,0.2131,0.265,M03_H22,0.766,3.1318,Low_Spoilage_Risk
Potato,4.54,86.64,380.7,4.673,7.734,0.694,0.78,0.1519,0.1563,M02_H02,0.412,-1.1528,Low_Spoilage_Risk
Mustard_Seed,16.29,61.1,465.4,4.496,4.274,1.968,0.882,0.1864,0.1785,M06_H12,0.46,0.5429,Low_Spoilage_Risk
Rice_Paddy,27.47,80.2,792.4,0.664,-1.861,1.043,0.9,0.4639,0.5117,M08_H02,0.92,1.2516,Moderate_Spoilage_Risk
Rice_Processed,45.21,81.1,944.4,4.998,16.124,0.515,0.929,0.8895,0.9409,M06_H09,0.4,2.2659,Critical_Spoilage
Black_Gram,9.54,78.86,1119.3,4.118,5.469,0.598,0.889,0.7053,0.7166,M04_H00,0.506,1.1275,Critical_Spoilage
Rice_Paddy,10.36,63.06,682.8,4.362,3.063,-0.613,0.95,0.2055,0.2305,M11_H20,0.477,-2.1807,Low_Spoilage_Risk
Chickpea,21.38,66.96,477.3,1.885,-1.99,0.377,0.969,0.1925,0.1805,M04_H16,0.774,0.2376,Low_Spoilage_Risk
Onion,9.41,71.33,382.1,0.914,4.044,-0.85,0.883,0.041,0.0838,M09_H15,0.89,-1.7096,Safe
Rice_Processed,24.91,78.93,984.8,2.443,11.896,-1.106,0.85,0.5802,0.6246,M06_H05,0.707,3.0614,High_Spoilage_Risk
Black_Gram,22.96,74.28,731.6,3.278,-3.764,0.11,0.921,0.504,0.51,M10_H10,0.607,-0.6031,High_Spoilage_Risk
Rice_Processed,14.34,80.63,1217.6,2.525,-7.98,1.136,0.848,0.6596,0.7162,M09_H06,0.697,2.7942,High_Spoilage_Risk
Garlic,21.56,90.89,1313.3,3.79,11.935,0.314,0.655,0.9189,0.9771,M08_H23,0.447,5.5176,Critical_Spoilage
Black_Gram,39.67,75.98,1285.5,3.159,30.591,0.03,0.981,0.9069,0.9869,M05_H16,0.621,5.6185,Critical_Spoilage
Sugarcane_Ratoon,39.65,68.59,1188.6,0.279,-9.849,-0.697,0.909,0.3957,0.3928,M11_H01,0.967,2.7152,Moderate_Spoilage_Risk
Potato,4.18,76.02,744.8,0.343,-11.01,1.048,0.984,0.0738,0.1101,M01_H15,0.959,-1.3197,Safe
Wheat,8.81,46.19,531.9,4.196,-3.615,-0.809,0.918,0.1948,0.2486,M02_H15,0.496,2.2028,Low_Spoilage_Risk
Black_Gram,32.53,82.69,1345.7,0.833,7.006,-1.076,0.812,0.8681,0.8713,M06_H05,0.9,2.5115,Critical_Spoilage
Garlic,-1.63,59.39,667.0,2.282,-3.499,-0.066,0.958,0.2354,0.2316,M10_H06,0.726,1.5689,Low_Spoilage_Risk
Soybean,10.83,82.44,884.6,1.448,23.095,0.692,0.731,0.5402,0.5974,M07_H15,0.826,2.7706,High_Spoilage_Risk
Chickpea,7.3,36.71,715.2,1.266,-3.931,-1.187,0.844,0.1704,0.1863,M03_H21,0.848,-0.2484,Low_Spoilage_Risk
Rice_Processed,30.01,68.72,483.4,0.226,0.095,0.341,0.835,0.0519,0.0531,M06_H00,0.973,1.5334,Safe
Soybean,14.19,52.41,693.1,0.562,7.292,-0.695,0.943,0.0613,0.0578,M11_H18,0.933,-0.3035,Safe
Soybean,21.28,40.97,405.9,4.154,0.233,-0.136,0.855,0.197,0.2063,M04_H00,0.502,-1.5805,Low_Spoilage_Risk
Rice_Processed,24.51,71.92,498.0,3.052,7.188,-0.497,0.877,0.2884,0.3123,M04_H08,0.634,1.783,Moderate_Spoilage_Risk
Lentil,8.04,35.72,437.2,4.365,-7.222,-0.707,0.956,0.2164,0.1879,M11_H22,0.476,-0.0065,Low_Spoilage_Risk
Groundnut,31.21,54.02,752.2,3.341,16.499,-1.054,0.828,0.4526,0.5093,M04_H01,0.599,5.1179,Moderate_Spoilage_Risk
Mustard_Seed,13.04,60.03,788.3,1.445,3.948,-1.453,0.932,0.1195,0.1122,M03_H02,0.827,-1.4706,Safe
Maize,13.55,77.03,987.7,1.511,-1.95,0.25,0.999,0.4829,0.5142,M11_H15,0.819,2.3805,High_Spoilage_Risk
Wheat,29.77,53.6,894.8,1.791,-0.423,-0.841,0.841,0.3934,0.3953,M07_H12,0.785,-1.9806,Moderate_Spoilage_Risk
Rice_Paddy,24.7,65.04,748.5,1.797,-8.759,0.218,0.917,0.1397,0.167,M07_H11,0.784,-1.3322,Low_Spoilage_Risk
Black_Gram,28.8,42.99,626.4,1.413,-7.043,0.503,0.897,0.1653,0.2183,M12_H22,0.83,5.5463,Low_Spoilage_Risk
Wheat,33.76,68.24,989.9,1.148,-2.751,0.288,0.866,0.5764,0.5839,M06_H13,0.862,-3.0515,High_Spoilage_Risk
Sugarcane_Ratoon,19.91,99,1547.6,4.873,0.624,-0.389,0.8,0.7426,0.7661,M06_H22,0.182,4.4641,Critical_Spoilage
Potato,15.34,79.72,1059.3,1.968,7.911,0.54,0.936,0.349,0.4084,M10_H15,0.764,0.9561,Moderate_Spoilage_Risk
Jute_Seed,34.7,68.02,1028.3,2.734,18.714,1.322,0.829,0.4779,0.474,M12_H13,0.672,1.0235,Moderate_Spoilage_Risk
Maize,22.06,72.98,826.8,4.911,-1.443,-0.482,0.924,0.3696,0.3889,M04_H20,0.411,-0.7542,Moderate_Spoilage_Risk
Groundnut,10.81,47.19,705.0,2.923,2.66,-0.25,0.892,0.1918,0.2131,M04_H02,0.649,3.9832,Low_Spoilage_Risk
Black_Gram,10.69,57.87,404.7,3.095,0.692,0.514,0.965,0.1368,0.1261,M05_H23,0.629,-0.8494,Safe
Chickpea,29.86,74.24,746.0,1.486,13.976,-0.845,0.93,0.5802,0.6013,M09_H09,0.822,0.3559,High_Spoilage_Risk
Wheat,24.32,55.22,532.0,3.482,1.295,0.912,0.822,0.1232,0.1079,M08_H21,0.582,-1.7604,Safe
Jute_Seed,17.97,55.62,596.5,0.558,-8.986,-1.121,0.982,0.0304,0.0091,M05_H12,0.933,0.6103,Safe
Potato,13.87,98.26,794.5,2.801,3.988,0.295,0.848,0.6103,0.6524,M11_H01,0.443,0.2599,High_Spoilage_Risk
Wheat,26.27,60.55,542.3,3.116,-6.862,0.177,0.963,0.1953,0.244,M10_H20,0.626,1.3812,Low_Spoilage_Risk
Sugarcane_Ratoon,40.6,67.76,1371.0,2.131,7.291,0.677,0.865,0.5252,0.5537,M10_H18,0.744,-1.9389,High_Spoilage_Risk
Mustard_Seed,14.61,45.75,535.7,1.525,-6.127,0.629,0.839,0.0532,0.0547,M07_H20,0.817,2.1649,Safe
Soybean,30.63,49.5,1065.9,2.052,10.332,0.621,0.992,0.4819,0.4941,M02_H14,0.754,0.1014,Moderate_Spoilage_Risk
Chickpea,31.32,55.67,494.0,0.34,-3.777,1.253,0.834,0.2381,0.2916,M05_H10,0.959,0.7104,Low_Spoilage_Risk
Groundnut,33.13,47.58,882.2,1.0,9.222,-0.691,0.957,0.4379,0.4585,M12_H00,0.88,1.2825,Moderate_Spoilage_Risk
Groundnut,41.1,67.21,893.6,4.623,14.617,0.261,0.917,0.6721,0.7123,M05_H16,0.445,2.3649,High_Spoilage_Risk
Black_Gram,29.47,70.66,635.9,1.477,-5.997,1.1,0.908,0.4034,0.461,M04_H06,0.823,2.7035,Moderate_Spoilage_Risk
Jute_Seed,24.28,73.54,607.4,4.041,7.293,1.379,0.838,0.4129,0.464,M11_H05,0.515,-1.6987,Moderate_Spoilage_Risk
Maize,10.87,49.11,716.6,3.881,8.177,-0.416,0.936,0.2176,0.2794,M08_H23,0.534,2.6844,Low_Spoilage_Risk
Mustard_Seed,16.37,54.52,429.3,3.21,-7.311,0.818,0.95,0.117,0.1256,M04_H08,0.615,1.2751,Safe
Chickpea,26.73,65.79,681.9,4.954,-1.888,0.312,0.924,0.2911,0.3069,M03_H12,0.406,-0.0717,Moderate_Spoilage_Risk
Groundnut,38.85,63.53,834.0,1.686,2.193,-0.255,0.954,0.4242,0.4662,M05_H01,0.798,-0.3867,Moderate_Spoilage_Risk
Potato,19.27,99,878.2,3.624,10.997,0.862,0.813,0.832,0.8337,M10_H20,0.332,0.9783,Critical_Spoilage
Sugarcane_Ratoon,40.81,54.11,1165.8,3.94,8.923,-0.372,0.967,0.5608,0.574,M06_H00,0.527,1.529,High_Spoilage_Risk
Jute_Seed,22.55,71.55,499.4,2.197,0.559,1.899,0.998,0.2856,0.3284,M06_H21,0.736,-1.2743,Moderate_Spoilage_Risk
Sugarcane_Ratoon,30.47,74.99,653.2,1.442,-0.192,-0.386,0.948,0.0825,0.1071,M09_H06,0.827,0.6464,Safe
Lentil,31.68,34.07,942.6,1.105,5.61,-0.397,0.978,0.4231,0.3978,M03_H23,0.867,-1.008,Moderate_Spoilage_Risk
Rice_Processed,20.97,51.92,718.2,1.016,1.427,0.853,0.92,0.059,0.0766,M10_H06,0.878,-1.5165,Safe
Mustard_Seed,8.91,68.03,646.9,1.02,-12.352,-0.075,0.88,0.3858,0.3933,M01_H10,0.878,-1.5296,Moderate_Spoilage_Risk
Groundnut,31.74,58.85,916.3,3.918,5.65,-0.056,0.923,0.5451,0.5317,M08_H11,0.53,1.4509,High_Spoilage_Risk
Onion,-0.74,56.88,625.1,4.939,-18.469,0.404,0.969,0.271,0.2908,M12_H01,0.407,-1.3528,Low_Spoilage_Risk
Soybean,31.02,52.11,620.3,0.76,0.65,0.51,0.976,0.2565,0.3058,M07_H23,0.909,-2.1426,Low_Spoilage_Risk
Maize,3.6,71.64,551.4,2.798,-3.219,-0.13,0.83,0.2675,0.2626,M11_H01,0.664,-0.437,Low_Spoilage_Risk
Black_Gram,13.31,69.81,943.2,2.634,9.739,-0.351,0.949,0.3932,0.3796,M11_H04,0.684,1.8163,Moderate_Spoilage_Risk
Rice_Paddy,20.01,73.54,750.9,1.514,-5.355,0.986,0.946,0.257,0.2746,M05_H04,0.818,2.5057,Low_Spoilage_Risk
Jute_Seed,38.91,71.28,731.2,0.824,21.444,-1.14,0.996,0.5159,0.5179,M12_H02,0.901,2.9897,High_Spoilage_Risk
Groundnut,21.02,72.0,461.5,2.89,-7.976,0.613,0.993,0.5069,0.4978,M06_H19,0.653,-1.8552,High_Spoilage_Risk
Onion,7.24,86.34,1055.7,0.475,5.27,1.254,0.874,0.5138,0.5134,M03_H16,0.921,-0.6027,High_Spoilage_Risk
Jute_Seed,19.16,62.72,451.4,1.95,-14.41,1.611,0.823,0.0906,0.0696,M02_H01,0.766,2.5817,Safe
Mustard_Seed,27.28,41.74,587.8,2.44,5.869,0.322,0.861,0.2851,0.2628,M03_H08,0.707,-3.706,Low_Spoilage_Risk
Rice_Processed,34.08,63.48,904.7,4.223,-2.392,1.512,0.825,0.3412,0.3775,M06_H17,0.493,1.4153,Moderate_Spoilage_Risk
Lentil,26.25,60.58,526.7,1.934,1.346,-1.141,0.956,0.1489,0.1433,M07_H06,0.768,2.6729,Safe
Jute_Seed,40.54,60.54,704.1,1.302,15.754,0.167,0.846,0.3321,0.3239,M09_H11,0.844,3.2874,Moderate_Spoilage_Risk
Garlic,6.72,64.98,376.4,4.851,1.878,-1.225,0.971,0.1424,0.1534,M03_H03,0.418,1.9868,Safe
Groundnut,18.69,67.94,446.4,2.34,1.263,0.319,0.851,0.3004,0.3016,M08_H13,0.719,-2.6919,Moderate_Spoilage_Risk
Potato,13.69,77.35,609.0,3.635,-11.523,0.494,0.841,0.2293,0.2243,M01_H00,0.564,4.3094,Low_Spoilage_Risk
Rice_Processed,29.46,57.29,684.2,3.946,2.626,-1.334,0.927,0.1617,0.2116,M12_H18,0.526,-2.2304,Low_Spoilage_Risk
Black_Gram,30.05,66.44,480.4,4.848,4.381,0.173,0.923,0.397,0.4197,M06_H03,0.418,-1.3236,Moderate_Spoilage_Risk
Rice_Paddy,24.03,53.56,897.9,2.387,3.803,-0.646,0.902,0.2264,0.2514,M03_H10,0.714,1.6877,Low_Spoilage_Risk
Black_Gram,24.41,51.28,653.2,4.464,-3.559,0.98,0.853,0.1654,0.1781,M10_H21,0.464,0.0149,Low_Spoilage_Risk
Jute_Seed,27.62,66.55,858.3,4.231,1.606,-0.09,0.845,0.2907,0.3329,M01_H12,0.492,0.7624,Moderate_Spoilage_Risk
Potato,15.18,75.79,710.2,2.066,13.297,0.494,0.969,0.224,0.2352,M11_H17,0.752,-0.3187,Low_Spoilage_Risk
Wheat,10.73,62.8,567.2,2.776,-3.599,-1.484,0.922,0.1241,0.1155,M10_H00,0.667,4.1051,Safe
Mustard_Seed,29.95,52.33,516.1,3.246,16.846,1.532,0.908,0.3671,0.3856,M07_H21,0.61,2.5828,Moderate_Spoilage_Risk
Rice_Processed,27.38,51.9,630.6,4.004,-7.082,-1.16,0.895,0.1737,0.2041,M11_H23,0.52,1.876,Low_Spoilage_Risk
Mustard_Seed,30.93,45.81,1016.5,0.88,-16.993,0.482,0.942,0.419,0.4756,M03_H14,0.894,1.3029,Moderate_Spoilage_Risk
Maize,26.06,73.47,471.4,3.523,15.636,0.567,0.917,0.2951,0.2962,M10_H23,0.577,2.6102,Low_Spoilage_Risk
Groundnut,33.82,64.62,859.5,1.573,2.44,-0.594,0.965,0.439,0.4514,M03_H07,0.811,1.508,Moderate_Spoilage_Risk
Onion,7.96,72.78,445.0,1.551,-11.447,0.466,0.949,0.0595,0.0485,M05_H12,0.814,2.4873,Safe
Mustard_Seed,29.4,38.54,641.7,2.113,10.191,-0.282,0.971,0.3746,0.3885,M04_H16,0.746,4.4717,Moderate_Spoilage_Risk
Black_Gram,29.79,58.99,764.3,0.765,-5.337,0.197,0.939,0.2027,0.2225,M03_H10,0.908,1.4661,Low_Spoilage_Risk
Garlic,6.1,69.23,482.0,4.443,4.639,-1.12,0.976,0.1539,0.1818,M09_H03,0.467,-1.6377,Low_Spoilage_Risk
Chickpea,12.56,62.37,382.9,0.307,5.221,0.867,0.914,0.01,0.0313,M01_H16,0.963,5.7369,Safe
Soybean,5.01,45.09,852.2,3.547,-13.774,-0.733,0.871,0.3205,0.3257,M12_H05,0.574,0.4869,Moderate_Spoilage_Risk
Soybean,13.44,61.2,446.8,2.343,2.14,-1.145,0.991,0.1035,0.1188,M07_H15,0.719,-3.6822,Safe
Garlic,0.18,59.55,456.8,2.034,8.789,0.686,0.888,0.2267,0.2546,M05_H01,0.756,-4.8671,Low_Spoilage_Risk
Onion,20.72,61.84,977.1,4.768,17.901,-1.854,0.912,0.4741,0.5281,M03_H05,0.428,5.0598,High_Spoilage_Risk
Jute_Seed,38.03,39.36,629.3,3.444,19.893,0.987,0.992,0.435,0.4479,M01_H18,0.587,2.4026,Moderate_Spoilage_Risk
Potato,16.46,78.85,1061.6,3.972,13.48,-0.664,0.828,0.4538,0.4897,M01_H08,0.523,1.4598,Moderate_Spoilage_Risk
Groundnut,17.33,71.38,1037.6,1.672,5.053,0.483,0.875,0.6212,0.6337,M04_H02,0.799,0.807,High_Spoilage_Risk
Garlic,5.59,77.83,581.9,4.361,0.413,0.64,0.853,0.3941,0.42,M06_H23,0.477,0.8343,Moderate_Spoilage_Risk
Sugarcane_Ratoon,16.76,60.51,721.3,1.95,-3.546,0.284,0.96,0.1004,0.0776,M07_H04,0.766,0.919,Safe
Rice_Processed,27.2,83.7,961.1,3.127,20.474,0.237,0.824,0.6209,0.6818,M09_H08,0.625,5.0017,High_Spoilage_Risk
Groundnut,26.55,44.94,836.1,0.952,4.058,0.172,0.943,0.236,0.2712,M03_H04,0.886,-3.0488,Low_Spoilage_Risk
Mustard_Seed,22.57,41.19,482.8,3.677,3.838,-0.398,0.903,0.1907,0.2133,M12_H03,0.559,2.988,Low_Spoilage_Risk
Mustard_Seed,12.42,58.46,745.4,2.378,-9.94,1.057,0.838,0.1637,0.2025,M01_H08,0.715,1.5107,Low_Spoilage_Risk
Garlic,21.6,84.07,1678.6,4.026,11.809,1.002,0.914,0.9556,0.9587,M08_H01,0.517,3.7844,Critical_Spoilage
Garlic,7.81,70.07,880.2,2.138,3.159,0.397,0.998,0.1774,0.2234,M09_H19,0.743,1.041,Low_Spoilage_Risk
Wheat,32.21,53.09,734.3,4.482,4.094,-0.232,0.943,0.468,0.4981,M11_H23,0.462,5.776,Moderate_Spoilage_Risk
Mustard_Seed,17.88,54.91,598.9,2.982,0.397,-0.123,0.922,0.1541,0.1707,M10_H18,0.642,-0.5355,Low_Spoilage_Risk
Maize,13.79,66.35,779.5,0.681,5.503,0.891,0.858,0.1039,0.1128,M08_H19,0.918,-0.6506,Safe
Black_Gram,36.58,52.0,815.0,3.346,16.36,-0.213,0.83,0.4519,0.4394,M04_H17,0.598,1.7244,Moderate_Spoilage_Risk
Wheat,36.19,49.22,1323.7,3.383,13.458,0.205,0.823,0.6342,0.66,M04_H17,0.594,2.0686,High_Spoilage_Risk
Wheat,21.34,58.55,840.1,3.461,2.016,-1.175,0.974,0.2075,0.2455,M12_H11,0.585,0.8488,Low_Spoilage_Risk
Mustard_Seed,30.87,62.04,653.9,3.479,2.194,0.13,0.836,0.4905,0.5291,M04_H07,0.583,-0.9749,High_Spoilage_Risk
Onion,0.3,66.43,629.1,4.62,-4.969,-0.009,0.993,0.2306,0.2036,M09_H02,0.446,0.0922,Low_Spoilage_Risk
Jute_Seed,9.81,57.06,524.0,0.292,-13.363,-0.529,0.956,0.0297,0.0136,M02_H05,0.965,1.3121,Safe
Jute_Seed,15.24,52.42,848.6,2.868,-1.858,-1.302,0.828,0.1823,0.2278,M05_H06,0.656,-1.378,Low_Spoilage_Risk
Wheat,19.33,58.8,618.5,3.711,-10.932,0.316,0.871,0.1808,0.2251,M02_H08,0.555,0.3633,Low_Spoilage_Risk
Sugarcane_Ratoon,27.68,58.67,767.2,0.835,10.456,1.199,0.952,0.1078,0.0923,M01_H10,0.9,0.4016,Safe
Mustard_Seed,34.51,73.79,917.1,1.643,28.964,0.247,0.894,0.7942,0.828,M10_H09,0.803,-2.0844,Critical_Spoilage
Groundnut,9.94,63.38,796.2,3.986,1.763,0.142,0.87,0.238,0.2216,M02_H20,0.522,-1.6704,Low_Spoilage_Risk
Jute_Seed,29.8,53.78,706.0,3.668,19.0,0.288,0.845,0.1846,0.1936,M09_H21,0.56,1.8174,Low_Spoilage_Risk
Onion,-0.42,69.92,434.9,2.136,-12.09,0.451,0.905,0.1988,0.1792,M08_H04,0.744,-3.4663,Low_Spoilage_Risk
Wheat,18.62,75.92,885.1,3.485,0.953,0.189,0.959,0.6232,0.6339,M03_H08,0.582,0.0171,High_Spoilage_Risk
Black_Gram,9.93,50.86,790.0,1.444,-8.585,0.798,0.865,0.1261,0.1152,M11_H10,0.827,0.6279,Safe
Soybean,20.6,78.5,625.5,2.701,8.645,0.657,0.987,0.5237,0.5462,M08_H22,0.676,0.0518,High_Spoilage_Risk
Garlic,-0.63,73.73,965.1,0.179,4.51,1.48,0.825,0.309,0.3055,M08_H00,0.979,2.5588,Moderate_Spoilage_Risk
Garlic,8.64,73.64,602.1,2.48,-3.491,-0.072,0.946,0.2118,0.2367,M07_H08,0.702,5.3841,Low_Spoilage_Risk
Wheat,32.19,59.18,952.7,3.685,7.74,-0.257,0.892,0.5238,0.5349,M10_H21,0.558,-0.6706,High_Spoilage_Risk
Soybean,4.35,66.58,572.0,3.039,-8.618,0.927,1.0,0.2661,0.2481,M12_H22,0.635,0.1917,Low_Spoilage_Risk
Black_Gram,15.76,31.06,409.1,0.949,-5.452,-1.395,0.982,0.063,0.0506,M11_H19,0.886,1.9775,Safe
Soybean,11.43,38.78,526.4,0.466,5.453,0.343,0.971,0.0758,0.0603,M12_H10,0.944,0.8951,Safe
Groundnut,21.17,52.54,455.9,3.619,-2.077,-0.077,0.948,0.1296,0.1386,M05_H16,0.566,0.7567,Safe
Mustard_Seed,39.37,39.13,1123.3,0.82,9.488,-0.172,0.943,0.482,0.5111,M03_H08,0.902,2.3377,Moderate_Spoilage_Risk
Soybean,36.41,59.35,1187.1,2.609,9.062,-0.366,0.996,0.5264,0.5664,M07_H16,0.687,6.776,High_Spoilage_Risk
Sugarcane_Ratoon,27.89,50.87,487.6,3.065,-10.949,0.221,0.995,0.1448,0.1403,M05_H14,0.632,0.0555,Safe
Garlic,21.26,87.63,1659.2,2.986,29.933,0.514,0.936,0.8937,0.9435,M08_H20,0.598,6.6184,Critical_Spoilage
Rice_Processed,43.59,74.15,1209.7,3.172,14.346,0.48,0.858,0.7814,0.845,M06_H16,0.619,5.1603,Critical_Spoilage
Groundnut,30.98,38.41,887.3,2.682,2.737,0.217,0.928,0.4963,0.5139,M12_H06,0.678,1.7924,High_Spoilage_Risk
Jute_Seed,14.83,57.74,403.4,2.925,-4.859,0.245,0.998,0.1373,0.1684,M09_H02,0.649,-0.5439,Low_Spoilage_Risk
Garlic,13.82,72.78,759.7,0.231,10.053,-0.275,0.931,0.2106,0.2272,M10_H22,0.972,1.6467,Low_Spoilage_Risk
Rice_Processed,19.57,60.2,517.8,3.461,-8.101,-0.404,0.968,0.1197,0.1075,M12_H18,0.585,1.7559,Safe
Maize,18.43,65.18,698.5,0.458,-5.451,-0.092,0.884,0.0508,0.0806,M06_H22,0.945,2.0484,Safe
Rice_Processed,17.86,82.22,997.1,3.994,9.154,0.691,0.865,0.6407,0.675,M08_H19,0.521,0.2769,High_Spoilage_Risk
Sugarcane_Ratoon,47.4,59.73,1772.2,3.296,24.356,0.703,0.837,0.6387,0.6782,M04_H09,0.604,-2.5884,High_Spoilage_Risk
Potato,11.22,94.51,728.7,4.494,7.636,0.157,0.546,0.1739,0.2214,M01_H11,0.302,3.3557,Low_Spoilage_Risk
Jute_Seed,33.76,62.03,917.7,1.985,8.074,-0.731,0.924,0.2976,0.3327,M04_H12,0.762,-0.5184,Moderate_Spoilage_Risk
Groundnut,37.98,63.37,1204.7,4.745,18.669,0.753,0.879,0.5889,0.59,M02_H11,0.431,1.0456,High_Spoilage_Risk
Rice_Processed,41.09,78.48,1184.8,1.682,13.84,1.334,0.962,0.8782,0.9405,M06_H02,0.798,5.1943,Critical_Spoilage
Sugarcane_Ratoon,40.19,60.68,884.5,3.743,-7.626,0.465,0.834,0.4508,0.4763,M03_H04,0.551,2.5816,Moderate_Spoilage_Risk
Lentil,27.34,69.19,957.4,4.941,-2.781,0.48,0.848,0.6121,0.6571,M07_H16,0.407,4.072,High_Spoilage_Risk
Wheat,30.05,62.44,875.0,0.355,-6.671,0.73,0.905,0.3592,0.3464,M02_H06,0.957,1.9207,Moderate_Spoilage_Risk
Rice_Processed,21.03,48.62,773.7,0.422,-5.043,-0.787,0.922,0.0903,0.1317,M07_H23,0.949,0.4646,Safe
Groundnut,32.34,77.35,1518.7,1.345,22.581,-0.424,0.852,0.9212,0.9851,M06_H17,0.839,2.2986,Critical_Spoilage
Sugarcane_Ratoon,27.73,65.07,710.6,0.111,-3.85,0.208,0.954,0.0307,0.0664,M02_H22,0.987,-0.0672,Safe
Black_Gram,37.02,51.83,730.1,4.194,8.369,-1.021,0.836,0.4501,0.4409,M01_H23,0.497,4.2162,Moderate_Spoilage_Risk
Sugarcane_Ratoon,19.2,87.24,1098.6,1.738,-2.1,-0.422,0.757,0.4252,0.4482,M01_H05,0.754,-0.2659,Moderate_Spoilage_Risk
Lentil,24.95,72.4,686.6,3.989,10.833,0.76,0.919,0.5041,0.5298,M04_H08,0.521,4.5618,High_Spoilage_Risk
Potato,24.75,87.7,1114.5,4.933,19.458,1.056,0.885,0.5416,0.5448,M11_H16,0.363,0.8491,High_Spoilage_Risk
Onion,10.26,76.42,831.6,2.137,-2.319,-1.15,0.917,0.1672,0.1814,M05_H13,0.744,-1.7285,Low_Spoilage_Risk
Groundnut,16.33,39.77,754.7,3.856,-6.162,-0.445,0.826,0.2651,0.2808,M02_H09,0.537,-0.4989,Low_Spoilage_Risk
Lentil,36.79,51.54,747.4,2.484,7.39,-0.84,0.994,0.384,0.443,M01_H15,0.702,2.6883,Moderate_Spoilage_Risk
Rice_Paddy,24.8,66.15,572.4,2.685,-4.46,1.441,0.964,0.0929,0.0933,M06_H21,0.678,-0.7752,Safe
Maize,34.4,53.11,1055.3,0.538,-3.519,-0.79,0.881,0.4501,0.4737,M03_H16,0.935,-2.274,Moderate_Spoilage_Risk
Maize,22.77,71.64,497.6,3.4,10.087,1.002,0.913,0.202,0.2556,M02_H06,0.592,2.2506,Low_Spoilage_Risk
Soybean,23.21,44.36,649.5,2.413,2.122,0.331,0.911,0.1581,0.183,M12_H06,0.71,0.2015,Low_Spoilage_Risk
Wheat,27.69,55.36,711.7,2.867,-19.228,-1.603,0.919,0.2968,0.2811,M07_H11,0.656,-0.7206,Low_Spoilage_Risk
Onion,8.7,67.39,539.7,4.36,-16.039,0.028,0.849,0.1624,0.1797,M02_H16,0.477,-1.8268,Low_Spoilage_Risk
Rice_Processed,34.22,73.0,1068.2,4.948,6.473,-0.573,0.984,0.5991,0.6041,M04_H20,0.406,-1.1508,High_Spoilage_Risk
Jute_Seed,16.34,52.01,423.9,2.787,-12.851,1.047,0.885,0.1048,0.1001,M07_H12,0.666,1.1515,Safe
Potato,9.9,81.78,926.6,3.46,-0.976,-0.044,0.795,0.2507,0.2895,M02_H21,0.585,-2.2499,Low_Spoilage_Risk
